,deezer_id,genres,id,name,popularity,genre
0,7912872,[tropical house],6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,71,tropical house
1,1188,[pop],04gDigrS5kc9YWfZHwBETP,Maroon 5,90,pop
2,14803,[],6xeFne1rkxMhKSW3ipvkdV,Toploader,63,
3,7218,"[grupera, latin, latin arena pop, latin pop, latin viral pop, mexican pop]",1Db5GsIoVWYktPoD2nnPZZ,Gloria Trevi,71,latin
4,5068032,"[dance pop, edm, pop, tropical house]",4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,76,pop
5,535490,"[deep hardstyle, hardstyle]",7IeovKzVkfcG9mIJGNzTcT,Ran-D,59,hardstyle
6,274673,[dutch pop],2d6W4cnC5XsVOaxtgaj9hA,Eva Simons,57,dutch pop
7,811481,"[alt-indie rock, garage rock, indie pop, indie rock, indietronica, modern alternative rock, modern rock, rock]",0Ak6DLKHtpR6TEEnmcorKA,The Vaccines,65,rock
8,1044914,"[french indie pop, french indietronica]",5KQuLhckFhcox1K9UCgLuV,Hyphen Hyphen,54,french indie pop
9,1518490,"[east coast hip hop, hip hop, pop, pop rap, rap, trap music]",13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,87,pop
10,5223,"[ccm, christian alternative rock, christian music, rock cristiano, world worship, worship]",74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,world worship
11,329951,"[banda, grupera, norteno, regional mexican, tejano]",0nnp7oJpY2J6yZOqtdKaWq,Duelo,68,regional mexican
12,1188758,"[big room, deep big room, edm, progressive house, progressive trance, trance, uplifting trance]",1UtBjqMZBAmqIPlDrKu7Tr,Andrew Rayel,62,edm
13,472353,"[cumbia, latin alternative]",5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,70,latin alternative
14,4905265,"[adoracao, brazilian gospel]",0pbjSAsHhPTgf9YQymeZdM,Heloisa Rosa,54,adoracao
15,5375338,"[adoracao, brazilian gospel, louvor]",2fxknIGrJpQ4Ii3eLS2JHf,Ministério Vineyard,49,adoracao
16,4789188,[],1eKT4nyBWQbYdHm19DrV2P,Juliano Son,56,
17,1511656,"[adoracao, brazilian gospel]",7FJXPSSrHgr0YDfeiQ63uk,Nívea Soares,54,adoracao
18,NA,[hollywood],2SmjZ060s1uBMud6afmImP,Sha Na Na,50,hollywood
19,15424,"[avant-garde jazz, bebop, contemporary jazz, contemporary post-bop, cool jazz, free jazz, jazz, jazz double bass, jazz fusion, vocal jazz]",5Pqc0ZFA20Y9zGJZ3ojUin,Charlie Haden,49,vocal jazz
20,6875,"[album rock, classic rock, dutch pop, dutch prog, dutch rock]",1iTlOqIrZy8DlvCPJY2sjS,Golden Earring,57,album rock
21,8136,"[compositional ambient, scorecore, soundtrack, video game music]",0s1ec6aPpRZ4DCj15w1EFg,Dario Marianelli,68,soundtrack
22,3618691,"[hebrew pop, israeli mediterranean, israeli pop, mizrahi]",1IAEef07H0fd9aA8aUHUlL,Omer Adam,58,israeli pop
23,1678249,"[dance pop, edm, pop, post-teen pop, r&b, tropical house]",5CCwRZC6euC8Odo6y9X8jr,Rita Ora,85,pop
24,4134208,"[hebrew pop, israeli mediterranean, israeli pop, mizrahi]",2l41Sv3AnIRnHYefzJHeY1,Shlomi Shabat,38,israeli pop
25,5234992,"[latin alternative, latin pop, rock en espanol]",2faVKByk0IA651ICKyYYOa,Jenny And The Mexicats,55,latin pop
26,12030,"[bossa nova, brazilian rock, forro, manguebeat, mpb, nova mpb, pernambuco alternative, samba]",4YLBdrR3DVSMncm785NH6C,Lenine,62,mpb
27,438567,"[deep german hip hop, german hip hop, german pop]",6VjbeCqoayiHYnefrisskv,Kay One,65,german hip hop
28,243657,"[axe, pagode, sertanejo, sertanejo universitario]",6VPRGmbZ0dupZrbwwEDRRw,Exaltasamba,65,pagode
29,468847,"[french folk pop, french reggae]",5ae40B5uvgZJJBArdMmRgA,HK & Les saltimbanks,37,french reggae
30,13020,"[francoton, french hip hop, french pop, rap conscient, trap francais]",5DW7NxqQ2875JtjuV7KMn4,Youssoupha,62,french hip hop
31,4792,[electro jazz],05tPwlpXpLFDlHIErC7bW9,Jehro,45,electro jazz
32,434,"[big room, brostep, dance pop, edm, electro house, house, pop, trance, tropical house]",2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,83,pop
33,632926,"[hip hop, pop rap, rap]",4LLpKhyESsyAXpc4laK94U,Mac Miller,87,rap
34,6058,"[alternative dance, brooklyn indie, dance-punk, indietronica, new rave]",57dN52uHvrHOxijzpIgu3E,Ratatat,68,indietronica
35,1671767,"[big room, dance pop, edm, electro house, progressive electro house, tropical house]",5fahUm8t5c0GIdeTq0ZaG8,Otto Knows,62,dance pop
36,1782,"[chanson, french pop]",0vmrFTWCwK3gFGDzeUzeMg,Patrick Bruel,59,chanson
37,939,"[french reggae, french rock, rap conscient]",7qiRNP9z0FhN63YcLmb8Ai,Stupeflip,54,french rock
38,4538892,"[adoracao, brazilian gospel, louvor]",03TpTPLRclj2iknzWXAXjP,Adhemar De Campos,44,adoracao
39,10192,[],6ThKRSpihtIxggE89U0fRb,Dante Thomas,44,
40,1538640,"[dance pop, girl group, pop, post-teen pop, r&b, talent show]",3e7awlrlDSwF3iM0WBjGMp,Little Mix,87,pop
41,29,"[chanson, francoton, french pop, french rock]",5Nq9MbzweBc5oL4WzsECx4,Calogero,60,chanson
42,416239,"[modern rock, rock]",53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,94,rock
43,8288,"[disco, funk, motown, post-disco, quiet storm, soul, urban contemporary]",3REpOYo13YkVj1dFzda12A,Shalamar,53,urban contemporary
44,17059,"[disco, electro, funk, post-disco, quiet storm, urban contemporary]",5uFqO7FceiE84xjEjFtQLX,Skyy,38,urban contemporary
45,2059,"[christmas, classic soul, jazz blues, memphis soul, soul, southern soul]",7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,75,soul
46,2555351,"[adoracao, folk brasileiro, louvor, world worship]",5gkNoT08CuWtH3NOwrdvrt,Marcela Tais,53,adoracao
47,183716,"[chamber pop, pop]",1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,79,pop
